"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone!!Estimate","United States!!Japanese alone!!Estimate","United States!!Filipino alone!!Estimate","United States!!Korean alone!!Estimate","United States!!Asian Indian alone!!Estimate","United States!!Vietnamese alone!!Estimate"
"TOTAL NUMBER OF RACES REPORTED","","","","","","",""
"    Total population","309,349,689","3,456,912","774,600","2,512,686","1,456,076","2,765,155","1,625,365"
"    One race","97.3%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%"
"    Two races","2.5%","(X)","(X)","(X)","(X)","(X)","(X)"
"    Three races","0.2%","(X)","(X)","(X)","(X)","(X)","(X)"
"    Four or more races","0.0%","(X)","(X)","(X)","(X)","(X)","(X)"
"SEX AND AGE","","","","","","",""
"    Total population","309,349,689","3,456,912","774,600","2,512,686","1,456,076","2,765,155","1,625,365"
"    Male","49.2%","47.1%","42.9%","44.1%","44.3%","51.5%","49.2%"
"    Female","50.8%","52.9%","57.1%","55.9%","55.7%","48.5%","50.8%"
"    Under 5 years","6.5%","4.9%","2.8%","4.4%","4.6%","8.5%","6.2%"
"    5 to 17 years","17.5%","15.0%","8.2%","14.7%","14.7%","16.3%","18.1%"
"    18 to 24 years","10.0%","11.3%","6.8%","9.3%","11.3%","8.5%","10.1%"
"    25 to 34 years","13.2%","14.9%","11.1%","15.0%","16.6%","23.2%","14.1%"
"    35 to 44 years","13.3%","15.7%","16.3%","16.6%","17.7%","17.8%","19.1%"
"    45 to 54 years","14.5%","16.0%","17.7%","15.5%","14.9%","10.8%","13.6%"
"    55 to 64 years","11.9%","11.4%","13.9%","13.0%","9.9%","8.4%","10.6%"
"    65 to 74 years","7.1%","6.0%","8.9%","7.3%","6.9%","4.5%","5.3%"
"    75 years and over","6.0%","4.8%","14.3%","4.2%","3.5%","2.0%","3.0%"
"    Median age (years)","37.2","37.6","47.6","38.9","36.7","32.3","35.8"
"    18 years and over","76.0%","80.2%","89.0%","80.9%","80.8%","75.2%","75.7%"
"    21 years and over","71.5%","75.4%","86.2%","77.0%","75.8%","71.9%","71.3%"
"    62 years and over","16.3%","13.6%","27.3%","15.0%","13.1%","8.7%","10.9%"
"    65 years and over","13.1%","10.8%","23.3%","11.5%","10.4%","6.5%","8.2%"
"    Under 18 years","74,165,365","685,065","85,025","479,917","279,888","685,015","395,248"
"    Male","51.2%","46.7%","49.6%","51.5%","53.1%","50.2%","52.2%"
"    Female","48.8%","53.3%","50.4%","48.5%","46.9%","49.8%","47.8%"
"    18 years and over","235,184,324","2,771,847","689,575","2,032,769","1,176,188","2,080,140","1,230,117"
"    Male","48.5%","47.1%","42.0%","42.3%","42.2%","51.9%","48.3%"
"    Female","51.5%","52.9%","58.0%","57.7%","57.8%","48.1%","51.7%"
"    18 to 34 years","71,867,474","906,637","138,026","611,101","405,208","876,342","392,398"
"    Male","50.6%","48.8%","45.0%","47.5%","45.2%","51.1%","47.9%"
"    Female","49.4%","51.2%","55.0%","52.5%","54.8%","48.9%","52.1%"
"    35 to 64 years","122,883,325","1,490,884","371,259","1,132,877","619,451","1,024,394","704,114"
"    Male","49.1%","46.2%","44.2%","40.8%","41.1%","52.8%","48.6%"
"    Female","50.9%","53.8%","55.8%","59.2%","58.9%","47.2%","51.4%"
"    65 years and over","40,433,525","374,326","180,290","288,791","151,529","179,404","133,605"
"    Male","43.1%","46.8%","35.2%","37.3%","38.7%","51.0%","48.0%"
"    Female","56.9%","53.2%","64.8%","62.7%","61.3%","49.0%","52.0%"
"RELATIONSHIP","","","","","","",""
"    Population in households","301,362,366","3,368,845","754,386","2,475,793","1,414,281","2,731,385","1,602,088"
"    Householder or spouse","56.5%","55.3%","70.9%","50.6%","58.7%","55.6%","46.0%"
"    Child","30.6%","27.3%","17.3%","27.8%","27.4%","30.9%","32.4%"
"    Other relatives","7.2%","10.9%","5.6%","15.1%","7.8%","9.3%","16.3%"
"    Nonrelatives","5.8%","6.6%","6.2%","6.5%","6.1%","4.2%","5.3%"
"        Unmarried partner","2.3%","1.1%","1.9%","1.6%","1.0%","0.4%","1.2%"
"HOUSEHOLDS BY TYPE","","","","","","",""
"    Households","114,567,419","1,150,817","334,726","713,898","507,203","876,534","445,377"
"    Family households","66.4%","70.6%","58.3%","77.6%","68.0%","79.9%","80.8%"
"        With own children under 18 years","29.7%","32.6%","21.6%","37.2%","31.6%","45.7%","44.7%"
"        Married-couple family","48.6%","58.2%","46.2%","58.5%","53.7%","73.1%","61.4%"
"            With own children under 18 years","20.0%","28.6%","17.8%","29.5%","26.0%","43.4%","37.1%"
"        Female householder, no husband present, family","13.1%","7.9%","8.8%","14.3%","10.2%","3.8%","12.4%"
"            With own children under 18 years","7.4%","2.9%","3.2%","5.8%","4.6%","1.5%","5.4%"
"    Nonfamily households","33.6%","29.4%","41.7%","22.4%","32.0%","20.1%","19.2%"
"        Male householder","15.5%","13.9%","17.9%","9.0%","12.5%","12.8%","10.5%"
"            Living alone","12.1%","9.9%","14.9%","6.2%","9.1%","9.0%","7.9%"
"            Not living alone","3.4%","4.0%","3.0%","2.8%","3.4%","3.8%","2.7%"
"        Female householder","18.0%","15.5%","23.8%","13.4%","19.5%","7.3%","8.6%"
"            Living alone","15.3%","12.1%","21.0%","9.8%","15.7%","5.8%","6.6%"
"            Not living alone","2.7%","3.4%","2.8%","3.6%","3.8%","1.5%","2.0%"
"    Average household size","2.63","2.87","2.28","3.40","2.64","3.13","3.59"
"    Average family size","3.23","3.39","3.00","3.82","3.22","3.50","3.97"
"MARITAL STATUS","","","","","","",""
"    Population 15 years and over","248,055,946","2,882,265","704,701","2,123,230","1,233,601","2,167,773","1,295,315"
"    Now married, except separated","48.8%","58.3%","54.8%","55.6%","55.0%","68.6%","54.9%"
"    Widowed","6.0%","4.2%","8.6%","5.7%","4.3%","3.2%","3.7%"
"    Divorced","10.9%","4.7%","8.4%","6.3%","5.6%","2.5%","5.9%"
"    Separated","2.2%","1.1%","1.2%","1.8%","1.2%","0.6%","1.5%"
"    Never married","32.1%","31.8%","27.0%","30.6%","34.0%","25.1%","34.0%"
"    Male 15 years and over","120,742,609","1,360,786","297,106","908,450","526,886","1,125,302","628,894"
"    Now married, except separated","50.5%","58.9%","54.8%","55.0%","55.5%","67.1%","54.9%"
"    Widowed","2.5%","1.5%","3.4%","1.7%","1.0%","1.1%","1.4%"
"    Divorced","9.6%","3.6%","7.1%","4.8%","3.2%","2.2%","4.7%"
"    Separated","1.9%","1.0%","1.4%","1.5%","0.9%","0.7%","1.2%"
"    Never married","35.4%","35.0%","33.4%","36.9%","39.5%","29.0%","37.9%"
"    Female 15 years and over","127,313,337","1,521,479","407,595","1,214,780","706,715","1,042,471","666,421"
"    Now married, except separated","47.1%","57.7%","54.7%","56.0%","54.6%","70.1%","54.9%"
"    Widowed","9.3%","6.5%","12.4%","8.7%","6.7%","5.6%","5.9%"
"    Divorced","12.1%","5.8%","9.4%","7.5%","7.4%","2.8%","7.1%"
"    Separated","2.5%","1.1%","1.0%","2.0%","1.5%","0.6%","1.8%"
"    Never married","29.0%","28.9%","22.4%","25.8%","29.9%","20.9%","30.4%"
"SCHOOL ENROLLMENT","","","","","","",""
"    Population 3 years and over enrolled in school","82,724,222","1,051,066","140,968","644,746","461,285","803,674","498,464"
"    Nursery school, preschool","6.0%","5.3%","5.6%","3.8%","4.4%","9.0%","3.9%"
"    Kindergarten","5.1%","4.2%","3.6%","3.5%","3.3%","5.9%","5.0%"
"    Elementary school (grades 1-8)","39.8%","30.2%","26.8%","34.8%","27.5%","34.6%","36.1%"
"    High school (grades 9-12)","20.8%","15.0%","14.7%","19.0%","16.7%","15.0%","18.4%"
"    College or graduate school","28.3%","45.3%","49.3%","38.9%","48.1%","35.6%","36.6%"
"    Male 3 years and over enrolled in school","40,704,561","493,211","66,173","323,190","232,675","420,349","254,506"
"    Percent enrolled in kindergarten to grade 12","68.6%","48.4%","47.4%","59.8%","50.2%","53.1%","61.4%"
"    Percent enrolled in college or graduate school","25.1%","46.7%","47.6%","36.2%","44.9%","37.4%","35.1%"
"        Female 3 years and over enrolled in school","42,019,661","557,855","74,795","321,556","228,610","383,325","243,958"
"    Percent enrolled in kindergarten to grade 12","62.8%","50.2%","43.1%","54.9%","44.8%","57.9%","57.5%"
"    Percent enrolled in college or graduate school","31.5%","44.2%","50.8%","41.6%","51.4%","33.6%","38.3%"
"EDUCATIONAL ATTAINMENT","","","","","","",""
"    Population 25 years and over","204,288,933","2,380,756","637,163","1,798,333","1,012,355","1,846,137","1,066,345"
"    Less than high school diploma","14.4%","18.8%","5.2%","7.7%","8.0%","9.0%","30.4%"
"    High school graduate (includes equivalency)","28.5%","15.2%","19.7%","14.7%","18.7%","9.2%","21.8%"
"    Some college or associate's degree","28.9%","14.3%","27.8%","29.1%","20.4%","11.0%","22.7%"
"    Bachelor's degree","17.7%","25.3%","31.9%","40.1%","34.5%","32.0%","18.5%"
"    Graduate or professional degree","10.4%","26.6%","15.4%","8.4%","18.3%","38.8%","6.6%"
"    High school graduate or higher","85.6%","81.2%","94.8%","92.3%","92.0%","91.0%","69.6%"
"    Male, high school graduate or higher","84.8%","82.5%","96.3%","93.9%","95.8%","93.6%","73.9%"
"    Female, high school graduate or higher","86.3%","80.1%","93.8%","91.2%","89.3%","88.2%","65.8%"
"    Bachelor's degree or higher","28.2%","51.8%","47.4%","48.5%","52.9%","70.8%","25.2%"
"    Male, bachelor's degree or higher","28.5%","54.7%","53.9%","44.1%","59.3%","75.3%","27.2%"
"    Female, bachelor's degree or higher","27.9%","49.3%","42.8%","51.5%","48.3%","65.9%","23.2%"
"FERTILITY","","","","","","",""
"    Women 15 to 50 years","76,352,003","1,003,645","203,647","743,081","475,815","788,536","462,492"
"    Women 15 to 50 years who had a birth in the past 12 months","4,168,720","44,191","9,897","38,301","18,804","54,514","25,803"
"        Unmarried women 15 to 50 years who had a birth in the past 12 months","1,501,872","3,293","263","7,551","1,025","1,006","3,135"
"            As a percent of all women with a birth in the past 12 months","36.0%","7.5%","2.7%","19.7%","5.5%","1.8%","12.1%"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","","","","","","",""
"    Population 30 years and over","183,336,387","2,120,402","598,941","1,624,034","882,266","1,546,837","945,962"
"    Living with grandchild(ren)","3.8%","5.4%","2.5%","7.4%","3.4%","6.2%","7.6%"
"        Responsible for grandchild(ren)","39.1%","14.3%","12.2%","17.7%","20.1%","11.6%","16.1%"
"VETERAN STATUS","","","","","","",""
"    Civilian population 18 years and over","234,137,287","2,768,776","688,233","2,017,983","1,171,040","2,079,130","1,227,504"
"    Civilian veteran","9.3%","1.4%","7.9%","4.8%","2.1%","0.5%","1.4%"
"DISABILITY STATUS","","","","","","",""
"    Total civilian noninstitutionalized population","304,287,836","3,446,365","767,028","2,488,243","1,445,008","2,760,630","1,616,170"
"    With a disability","11.9%","5.5%","10.0%","7.3%","5.2%","4.7%","7.1%"
"    Civilian noninstitutionalized population under 18 years","74,017,524","684,737","84,969","479,455","279,630","684,962","394,997"
"    With a disability","4.0%","1.4%","1.4%","2.0%","1.5%","1.7%","2.1%"
"    Civilian noninstitutionalized population 18 to 64 years","191,138,060","2,391,488","506,840","1,722,641","1,016,609","1,897,583","1,089,317"
"    With a disability","10.0%","2.9%","4.0%","4.5%","3.5%","3.3%","5.3%"
"    Civilian noninstitutionalized population 65 years and older","39,132,252","370,140","175,219","286,147","148,769","178,085","131,856"
"    With a disability","36.7%","30.0%","31.5%","33.4%","23.6%","31.0%","37.5%"
"RESIDENCE 1 YEAR AGO","","","","","","",""
"    Population 1 year and over","305,628,607","3,428,245","770,701","2,493,211","1,446,619","2,721,175","1,607,258"
"    Same house","84.6%","82.4%","85.5%","84.2%","79.9%","80.1%","86.2%"
"    Different house in the U.S.","14.8%","14.1%","11.7%","13.9%","16.5%","16.1%","12.6%"
"        Same county","9.4%","8.9%","7.5%","9.9%","9.9%","9.3%","8.8%"
"        Different county","5.4%","5.3%","4.2%","4.0%","6.6%","6.8%","3.8%"
"            Same state","3.2%","3.1%","2.2%","2.4%","3.4%","3.2%","2.5%"
"            Different state","2.2%","2.2%","2.0%","1.6%","3.2%","3.7%","1.2%"
"    Abroad","0.6%","3.5%","2.9%","1.9%","3.6%","3.8%","1.3%"
"PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY","","","","","","",""
"    Native","269,393,835","1,070,520","480,492","855,723","372,192","794,619","514,238"
"    Male","49.2%","51.1%","48.9%","51.5%","50.3%","50.8%","52.5%"
"    Female","50.8%","48.9%","51.1%","48.5%","49.7%","49.2%","47.5%"
"    Foreign born","39,955,854","2,386,392","294,108","1,656,963","1,083,884","1,970,536","1,111,127"
"    Male","49.1%","45.2%","33.0%","40.2%","42.2%","51.8%","47.8%"
"    Female","50.9%","54.8%","67.0%","59.8%","57.8%","48.2%","52.2%"
