"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"TOTAL NUMBER OF RACES REPORTED","","","","","","",""
"    Total population","316,128,839","3,781,673","794,441","2,664,606","1,446,592","3,189,485","1,692,760"
"        One race","97.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%"
"        Two races","2.7%","(X)","(X)","(X)","(X)","(X)","(X)"
"        Three races","0.2%","(X)","(X)","(X)","(X)","(X)","(X)"
"        Four or more races","0.0%","(X)","(X)","(X)","(X)","(X)","(X)"
"SEX AND AGE","","","","","","",""
"    Total population","316,128,839","3,781,673","794,441","2,664,606","1,446,592","3,189,485","1,692,760"
"        Male","49.2%","46.7%","42.9%","44.1%","45.1%","51.5%","48.7%"
"        Female","50.8%","53.3%","57.1%","55.9%","54.9%","48.5%","51.3%"
"    Under 5 years","6.3%","4.2%","3.0%","4.0%","4.2%","8.0%","5.3%"
"    5 to 17 years","17.0%","14.0%","7.4%","13.9%","13.5%","15.9%","17.9%"
"    18 to 24 years","10.0%","11.8%","5.6%","9.1%","10.4%","7.9%","9.7%"
"    25 to 34 years","13.5%","15.3%","10.6%","14.8%","16.3%","22.4%","13.6%"
"    35 to 44 years","12.8%","14.7%","16.0%","16.5%","17.3%","19.1%","18.2%"
"    45 to 54 years","13.8%","15.1%","16.8%","15.2%","14.9%","11.1%","14.9%"
"    55 to 64 years","12.4%","12.7%","15.7%","13.3%","11.6%","8.1%","10.9%"
"    65 to 74 years","8.0%","6.8%","10.2%","8.4%","7.5%","5.0%","6.0%"
"    75 years and over","6.2%","5.4%","14.7%","4.9%","4.3%","2.3%","3.5%"
"    Median age (years)","37.5","38.4","49.5","40.3","38.5","33.1","37.5"
"    18 years and over","76.7%","81.7%","89.6%","82.2%","82.3%","76.0%","76.8%"
"    21 years and over","72.4%","77.1%","87.2%","78.6%","77.9%","73.0%","72.5%"
"    62 years and over","17.5%","15.8%","29.4%","16.8%","14.6%","9.7%","12.4%"
"    65 years and over","14.1%","12.2%","24.9%","13.3%","11.8%","7.3%","9.4%"
"    Under 18 years","73,586,612","690,686","82,283","474,656","255,946","764,640","393,008"
"        Male","51.2%","46.7%","51.9%","51.9%","53.8%","50.4%","52.2%"
"        Female","48.8%","53.3%","48.1%","48.1%","46.2%","49.6%","47.8%"
"    18 years and over","242,542,227","3,090,987","712,158","2,189,950","1,190,646","2,424,845","1,299,752"
"        Male","48.6%","46.7%","41.8%","42.4%","43.2%","51.8%","47.6%"
"        Female","51.4%","53.3%","58.2%","57.6%","56.8%","48.2%","52.4%"
"    18 to 34 years","74,258,167","1,022,763","128,636","637,504","386,004","968,313","394,780"
"        Male","50.8%","49.3%","45.5%","48.1%","47.7%","50.8%","47.8%"
"        Female","49.2%","50.7%","54.5%","51.9%","52.3%","49.2%","52.2%"
"    35 to 64 years","123,620,070","1,608,014","385,716","1,198,854","633,675","1,222,198","745,109"
"        Male","49.1%","45.3%","44.5%","40.6%","41.4%","52.7%","47.4%"
"        Female","50.9%","54.7%","55.5%","59.4%","58.6%","47.3%","52.6%"
"    65 years and over","44,663,990","460,210","197,806","353,592","170,967","234,334","159,863"
"        Male","43.8%","45.9%","34.1%","37.9%","39.8%","51.6%","47.9%"
"        Female","56.2%","54.1%","65.9%","62.1%","60.2%","48.4%","52.1%"
"RELATIONSHIP","","","","","","",""
"    Population in households","308,099,169","3,668,748","775,517","2,625,029","1,407,323","3,144,660","1,668,504"
"        Householder or spouse","55.9%","56.0%","70.8%","50.4%","59.6%","56.5%","46.5%"
"        Child","30.6%","25.3%","17.0%","27.7%","26.5%","30.2%","31.4%"
"        Other relatives","7.4%","11.3%","6.2%","15.5%","7.9%","9.1%","16.3%"
"        Nonrelatives","6.1%","7.4%","6.0%","6.4%","6.0%","4.1%","5.8%"
"            Unmarried partner","2.3%","1.1%","1.6%","1.7%","1.0%","0.3%","1.5%"
"HOUSEHOLDS BY TYPE","","","","","","",""
"    Households","116,291,033","1,283,600","339,603","746,253","507,530","1,025,496","472,506"
"        Family households","65.9%","68.6%","60.4%","78.3%","68.5%","79.6%","80.0%"
