Year,Language,Total_Trade,Trade_Pct
1958,Chinese,0,0
1959,Chinese,0,0
1960,Chinese,0,0
1961,Chinese,0,0
1962,Chinese,0,0
1963,Chinese,0,0
1964,Chinese,0,0
1965,Chinese,0,0
1966,Chinese,0,0
1967,Chinese,0,0
1968,Chinese,0,0
1969,Chinese,0,0
1970,Chinese,0,0
1971,Chinese,5,0.0001
1972,Chinese,92,0.0009
1973,Chinese,753,0.0054
1974,Chinese,921,0.0046
1975,Chinese,462,0.0023
1976,Chinese,336,0.0014
1977,Chinese,372,0.0014
1978,Chinese,1145,0.0036
1979,Chinese,2316,0.006
1980,Chinese,4813,0.0103
1981,Chinese,5468,0.011
1982,Chinese,5196,0.0114
1983,Chinese,4420,0.0096
1984,Chinese,6069,0.0112
1958,Japanese,1511,0.0492
1959,Japanese,1996,0.0608
1960,Japanese,2490,0.0707
1961,Japanese,2794,0.0791
1962,Japanese,2773,0.0729
1963,Japanese,3212,0.0793
1964,Japanese,3677,0.0815
1965,Japanese,4472,0.0916
1966,Japanese,5294,0.0948
1967,Japanese,5665,0.0971
1968,Japanese,7008,0.1033
1969,Japanese,8378,0.1131
1970,Japanese,10527,0.1266
1971,Japanese,11316,0.1261
1972,Japanese,14027,0.1332
1973,Japanese,17957,0.1279
1974,Japanese,23135,0.116
1975,Japanese,20988,0.1026
1976,Japanese,25649,0.1088
1977,Japanese,29145,0.1092
1978,Japanese,37343,0.1183
1979,Japanese,43829,0.1129
1980,Japanese,51504,0.1106
1981,Japanese,59435,0.1201
1982,Japanese,58710,0.1287
1983,Japanese,63077,0.1375
1984,Japanese,80710,0.1485
1958,Filipino,565,0.0184
1959,Filipino,588,0.0179
1960,Filipino,604,0.0172
1961,Filipino,649,0.0184
1962,Filipino,591,0.0155
1963,Filipino,680,0.0168
1964,Filipino,747,0.0166
1965,Filipino,705,0.0144
1966,Filipino,740,0.0132
1967,Filipino,803,0.0138
1968,Filipino,872,0.0128
1969,Filipino,797,0.0108
1970,Filipino,845,0.0102
1971,Filipino,836,0.0093
1972,Filipino,856,0.0081
1973,Filipino,1159,0.0083
1974,Filipino,1838,0.0092
1975,Filipino,1588,0.0078
1976,Filipino,1701,0.0072
1977,Filipino,1979,0.0074
1978,Filipino,2248,0.0071
1979,Filipino,3060,0.0079
1980,Filipino,3730,0.008
1981,Filipino,3751,0.0076
1982,Filipino,3660,0.008
1983,Filipino,3808,0.0083
1984,Filipino,4196,0.0077
1970,Korean,1013,0.0122
1971,Korean,1143,0.0127
1972,Korean,1443,0.0137
1973,Korean,2214,0.0158
1974,Korean,3006,0.0151
1975,Korean,3204,0.0157
1976,Korean,4419,0.0188
1977,Korean,5266,0.0197
1978,Korean,6906,0.0219
1979,Korean,8237,0.0212
1980,Korean,8832,0.019
1981,Korean,10343,0.0209
1982,Korean,11166,0.0245
1983,Korean,13073,0.0285
1984,Korean,15336,0.0282
1980,Vietnamese,0,0
1981,Vietnamese,0,0
1982,Vietnamese,0,0
1983,Vietnamese,0,0
1984,Vietnamese,0,0
1985,Vietnamese,0,0
1986,Vietnamese,0,0
1987,Vietnamese,0,0
1988,Vietnamese,0,0
1989,Vietnamese,0,0
1990,Vietnamese,0,0
1991,Vietnamese,0,0
1980,Hindi,2787,0.006
1981,Hindi,2950,0.006
1982,Hindi,3003,0.0066
1983,Hindi,4019,0.0088
1984,Hindi,4122,0.0076
