Year,Language,Pop,Pop_UsPct,Lang_Pop,Lang_Pop_UsPct,Eng_LesVw_Pop,Eng_LesVw_Pop_UsPct,HEdu_Pop,HEdu_UsPct,HEdu_Pct,HEdu_Ratio,Med_Inc,Inc_Ratio,Pvt_Pct,Pvt_Ratio
1958,Chinese,162925,0.001,NA,NA,NA,NA,13236,0.002,0.127,1.79,3248,0.99,0.215,0.84
1959,Chinese,202762,0.0012,NA,NA,NA,NA,19083,0.0026,0.158,2.05,4488,0.99,0.173,0.85
1960,Chinese,237292,0.0013,NA,NA,NA,NA,23901,0.0031,0.183,2.26,5538,0.99,0.141,0.87
1961,Chinese,267160,0.0014,NA,NA,NA,NA,27863,0.0035,0.202,2.41,6419,1,0.118,0.89
1962,Chinese,293023,0.0015,NA,NA,NA,NA,31165,0.0038,0.217,2.51,7155,1.01,0.103,0.91
1963,Chinese,315541,0.0016,NA,NA,NA,NA,34010,0.004,0.227,2.56,7767,1.02,0.095,0.93
1964,Chinese,335377,0.0017,NA,NA,NA,NA,36603,0.0042,0.234,2.58,8281,1.03,0.092,0.95
1965,Chinese,353191,0.0018,NA,NA,NA,NA,39146,0.0043,0.239,2.57,8720,1.05,0.094,0.98
1966,Chinese,369643,0.0018,NA,NA,NA,NA,41843,0.0044,0.242,2.53,9107,1.06,0.1,1
1967,Chinese,385396,0.0019,NA,NA,NA,NA,44898,0.0045,0.245,2.49,9466,1.08,0.108,1.02
1968,Chinese,401109,0.002,NA,NA,NA,NA,48514,0.0046,0.248,2.43,9820,1.09,0.116,1.05
1969,Chinese,417444,0.002,NA,NA,NA,NA,52893,0.0047,0.251,2.38,10194,1.11,0.125,1.07
1970,Chinese,435062,0.0021,345431,0.0017,NA,NA,58241,0.0048,0.256,2.33,10610,1.12,0.133,1.09
1971,Chinese,454609,0.0022,320631,0.0016,NA,NA,64731,0.005,0.263,2.3,11090,1.13,0.139,1.11
1972,Chinese,476670,0.0023,306498,0.0015,NA,NA,72426,0.0052,0.273,2.27,11642,1.14,0.143,1.13
1973,Chinese,501816,0.0024,302504,0.0015,NA,NA,81359,0.0055,0.283,2.26,12276,1.15,0.145,1.14
1974,Chinese,530619,0.0025,308120,0.0015,NA,NA,91563,0.0058,0.295,2.26,12997,1.15,0.145,1.15
1975,Chinese,563649,0.0026,322817,0.0016,NA,NA,103073,0.0062,0.308,2.26,13812,1.16,0.145,1.16
1976,Chinese,601476,0.0028,346065,0.0017,NA,NA,115920,0.0066,0.321,2.26,14730,1.16,0.144,1.17
1977,Chinese,644672,0.0029,377337,0.0018,NA,NA,130139,0.007,0.334,2.26,15756,1.17,0.142,1.17
1978,Chinese,693807,0.0031,416102,0.0019,NA,NA,145763,0.0074,0.346,2.27,16899,1.17,0.139,1.17
1979,Chinese,749452,0.0034,461833,0.0021,NA,NA,162826,0.0079,0.357,2.27,18165,1.18,0.137,1.17
1980,Chinese,812178,0.0036,514000,0.0023,252000,0.0011,181361,0.0084,0.366,2.26,19561,1.18,0.135,1.16
1981,Chinese,882247,0.0039,572050,0.0025,293770,0.0013,201385,0.0089,0.374,2.25,21089,1.18,0.133,1.15
1982,Chinese,958684,0.0042,635334,0.0028,338054,0.0015,222848,0.0094,0.38,2.23,22725,1.19,0.132,1.13
1983,Chinese,1040207,0.0045,703178,0.003,384603,0.0017,245685,0.0099,0.384,2.2,24441,1.2,0.131,1.12
1984,Chinese,1125532,0.0048,774910,0.0033,433167,0.0019,269831,0.0105,0.388,2.17,26208,1.2,0.131,1.1
1985,Chinese,1213376,0.0051,849855,0.0036,483498,0.0021,295219,0.011,0.391,2.14,27997,1.21,0.131,1.09
1986,Chinese,1302456,0.0054,927340,0.0039,535346,0.0023,321783,0.0115,0.393,2.11,29779,1.21,0.132,1.08
1987,Chinese,1391488,0.0058,1006691,0.0041,588463,0.0025,349459,0.012,0.396,2.07,31525,1.21,0.133,1.07
1988,Chinese,1479191,0.0061,1087237,0.0044,642600,0.0026,378179,0.0126,0.399,2.05,33206,1.21,0.135,1.07
1989,Chinese,1564280,0.0063,1168302,0.0047,697507,0.0028,407879,0.0131,0.402,2.02,34794,1.21,0.137,1.08
1990,Chinese,1645472,0.0066,1249213,0.005,752936,0.003,438493,0.0136,0.407,2,36259,1.21,0.14,1.09
1991,Chinese,1721956,0.0068,1329418,0.0053,808523,0.0032,469973,0.0141,0.413,1.99,37586,1.21,0.143,1.11
1992,Chinese,1794808,0.007,1408845,0.0055,863445,0.0033,502346,0.0146,0.419,1.98,38815,1.2,0.147,1.14
1993,Chinese,1865576,0.0072,1487543,0.0058,916766,0.0035,535655,0.0151,0.427,1.97,39998,1.19,0.15,1.17
1994,Chinese,1935807,0.0074,1565562,0.006,967548,0.0036,569947,0.0155,0.435,1.97,41188,1.19,0.152,1.2
1995,Chinese,2007048,0.0076,1642949,0.0062,1014855,0.0037,605266,0.016,0.443,1.98,42438,1.18,0.154,1.22
1996,Chinese,2080848,0.0077,1719756,0.0065,1057749,0.0039,641657,0.0164,0.452,1.98,43802,1.18,0.154,1.24
1997,Chinese,2158754,0.0079,1796029,0.0067,1095293,0.004,679163,0.0168,0.46,1.98,45331,1.18,0.153,1.24
1998,Chinese,2242314,0.0081,1871819,0.0069,1126550,0.004,717831,0.0172,0.468,1.98,47079,1.19,0.149,1.23
1999,Chinese,2333075,0.0083,1947175,0.007,1150583,0.0041,757704,0.0176,0.475,1.98,49099,1.2,0.144,1.2
2000,Chinese,2432585,0.0086,2022145,0.0072,1166455,0.0041,798828,0.018,0.481,1.97,51444,1.22,0.135,1.14
2001,Chinese,2541599,0.0089,2096721,0.0074,1173802,0.0041,841192,0.0184,0.486,1.96,54127,1.24,0.124,1.06
2002,Chinese,2657703,0.0092,2170661,0.0075,1174555,0.0041,884562,0.0187,0.49,1.94,57006,1.27,0.11,0.96
2003,Chinese,2777689,0.0095,2243666,0.0076,1171216,0.004,928652,0.019,0.494,1.92,59899,1.3,0.096,0.86
2004,Chinese,2898351,0.0099,2315437,0.0078,1166288,0.004,973174,0.0194,0.497,1.9,62624,1.33,0.083,0.76
2005,Chinese,3016482,0.0102,2385674,0.0079,1162276,0.004,1017838,0.0197,0.499,1.88,65000,1.35,0.072,0.67
2006,Chinese,3128873,0.0105,2454078,0.0081,1161681,0.0039,1062358,0.02,0.502,1.87,66844,1.37,0.065,0.61
2007,Chinese,3232319,0.0108,2520349,0.0082,1167009,0.0039,1106446,0.0204,0.505,1.85,67976,1.38,0.062,0.59
2008,Chinese,3323612,0.011,2584189,0.0084,1180761,0.0039,1149812,0.0207,0.509,1.84,68212,1.37,0.065,0.61
2009,Chinese,3399546,0.0111,2645297,0.0085,1205441,0.0039,1192170,0.021,0.513,1.84,67372,1.34,0.075,0.69
2010,Chinese,3456912,0.0112,2703375,0.0087,1243552,0.004,1233232,0.0214,0.518,1.84,65273,1.3,0.094,0.83
2011,Chinese,3520150,0.0113,2767564,0.0089,1289685,0.0041,1274530,0.0217,0.523,1.84,63399,1.26,0.113,0.97
2012,Chinese,3660659,0.0117,2854788,0.0091,1313202,0.0042,1330903,0.0219,0.526,1.81,66261,1.29,0.106,0.9
2013,Chinese,3781673,0.012,2915620,0.0092,1320776,0.0042,1413267,0.0226,0.534,1.8,68149,1.3,0.106,0.91
2014,Chinese,3941615,0.0124,3032758,0.0095,1382938,0.0043,1478129,0.023,0.534,1.77,69586,1.3,0.106,0.94
2015,Chinese,4133674,0.0129,3203629,0.01,1470466,0.0046,1599006,0.0241,0.546,1.78,71219,1.28,0.103,0.97
2016,Chinese,4214856,0.013,3253217,0.0101,1473707,0.0046,1649430,0.0241,0.552,1.76,73788,1.28,0.104,1.04
2017,Chinese,4344981,0.0133,3331478,0.0102,1492502,0.0046,1733124,0.0245,0.553,1.73,77136,1.28,0.099,1.04
2018,Chinese,4395912,0.0134,3335318,0.0102,1420845,0.0043,1808099,0.0249,0.572,1.75,81487,1.32,0.091,0.98
2019,Chinese,4404678,0.0134,3348155,0.0102,1406225,0.0043,1849271,0.0248,0.577,1.74,86281,1.31,0.081,0.94
2020,Chinese,4389063,0.0133,3334789,0.0101,1399373,0.0043,1872462,0.0243,0.577,1.71,90474,1.29,0.079,0.96
2021,Chinese,4360466,0.0131,3246355,0.0098,1331006,0.004,1894922,0.0237,0.586,1.67,93007,1.33,0.097,1.07
1958,Filipino,107023,6e-4,NA,NA,NA,NA,4343,6e-4,0.055,0.76,2817,0.88,0.218,0.84
1959,Filipino,144985,8e-4,NA,NA,NA,NA,6797,9e-4,0.073,0.94,3771,0.84,0.169,0.82
1960,Filipino,176310,0.001,NA,NA,NA,NA,8843,0.0012,0.09,1.11,4571,0.81,0.133,0.82
1961,Filipino,201830,0.0011,NA,NA,NA,NA,10601,0.0014,0.106,1.26,5239,0.79,0.108,0.83
1962,Filipino,222560,0.0012,NA,NA,NA,NA,12225,0.0016,0.12,1.39,5797,0.79,0.093,0.86
1963,Filipino,239558,0.0013,NA,NA,NA,NA,13875,0.0018,0.134,1.51,6272,0.79,0.086,0.9
1964,Filipino,253884,0.0014,NA,NA,NA,NA,15714,0.002,0.147,1.62,6687,0.81,0.086,0.94
1965,Filipino,266598,0.0014,NA,NA,NA,NA,17902,0.0021,0.159,1.71,7067,0.83,0.091,0.99
1966,Filipino,278759,0.0015,NA,NA,NA,NA,20603,0.0023,0.172,1.8,7438,0.85,0.1,1.03
1967,Filipino,291426,0.0015,NA,NA,NA,NA,23976,0.0025,0.184,1.87,7824,0.88,0.11,1.07
1968,Filipino,305659,0.0016,NA,NA,NA,NA,28184,0.0027,0.197,1.94,8249,0.92,0.121,1.1
1969,Filipino,322517,0.0016,NA,NA,NA,NA,33389,0.003,0.211,2,8739,0.95,0.13,1.12
1970,Filipino,343060,0.0017,217907,0.0011,NA,NA,39751,0.0033,0.225,2.05,9318,0.99,0.137,1.12
1971,Filipino,368145,0.0018,218656,0.0011,NA,NA,47396,0.0036,0.24,2.1,10007,1.03,0.14,1.11
1972,Filipino,397819,0.0019,224418,0.0011,NA,NA,56297,0.004,0.256,2.14,10814,1.06,0.138,1.07
1973,Filipino,431928,0.0021,234926,0.0011,NA,NA,66391,0.0045,0.272,2.18,11742,1.1,0.134,1.03
1974,Filipino,470317,0.0022,249914,0.0012,NA,NA,77616,0.0049,0.289,2.22,12795,1.13,0.127,0.98
1975,Filipino,512833,0.0024,269116,0.0012,NA,NA,89908,0.0054,0.305,2.25,13976,1.17,0.119,0.92
1976,Filipino,559320,0.0026,292264,0.0013,NA,NA,103204,0.0059,0.32,2.27,15288,1.2,0.109,0.85
1977,Filipino,609624,0.0028,319093,0.0014,NA,NA,117441,0.0063,0.335,2.28,16736,1.23,0.099,0.79
1978,Filipino,663591,0.003,349337,0.0015,NA,NA,132556,0.0068,0.348,2.29,18322,1.26,0.088,0.72
1979,Filipino,721066,0.0033,382728,0.0017,NA,NA,148486,0.0073,0.36,2.29,20051,1.29,0.079,0.66
1980,Filipino,781894,0.0035,419000,0.0018,228000,0.001,165168,0.0077,0.37,2.28,21926,1.32,0.071,0.61
1981,Filipino,845788,0.0037,457849,0.002,222841,0.001,182519,0.0081,0.378,2.26,23945,1.34,0.065,0.57
1982,Filipino,911922,0.004,498816,0.0021,220667,0.001,200379,0.0085,0.383,2.24,26082,1.37,0.061,0.54
1983,Filipino,979341,0.0043,541405,0.0023,221280,0.001,218567,0.0088,0.388,2.21,28308,1.39,0.058,0.51
1984,Filipino,1047086,0.0045,585121,0.0025,224482,0.001,236903,0.0092,0.39,2.18,30591,1.41,0.057,0.5
1985,Filipino,1114199,0.0047,629465,0.0026,230077,0.0011,255207,0.0094,0.392,2.14,32901,1.42,0.057,0.49
1986,Filipino,1179722,0.005,673943,0.0028,237865,0.0011,273299,0.0097,0.393,2.1,35207,1.43,0.057,0.48
1987,Filipino,1242699,0.0052,718058,0.003,247650,0.0011,290998,0.0099,0.393,2.06,37478,1.44,0.059,0.48
1988,Filipino,1302171,0.0054,761312,0.0031,259234,0.0011,308124,0.0102,0.393,2.02,39685,1.45,0.06,0.49
1989,Filipino,1357180,0.0056,803211,0.0033,272418,0.0012,324497,0.0103,0.393,1.98,41796,1.46,0.062,0.49
1990,Filipino,1406770,0.0057,843258,0.0034,287006,0.0012,339937,0.0105,0.393,1.94,43780,1.46,0.064,0.5
1991,Filipino,1450438,0.0058,881148,0.0035,302729,0.0012,354410,0.0106,0.394,1.91,45618,1.46,0.066,0.51
1992,Filipino,1489510,0.0059,917342,0.0036,319041,0.0013,368471,0.0108,0.395,1.88,47332,1.46,0.067,0.52
1993,Filipino,1525766,0.006,952494,0.0037,335325,0.0013,382820,0.0109,0.397,1.86,48955,1.45,0.068,0.52
1994,Filipino,1560987,0.006,987256,0.0038,350963,0.0013,398159,0.011,0.4,1.84,50521,1.45,0.068,0.53
1995,Filipino,1596954,0.0061,1022283,0.0039,365338,0.0013,415189,0.0111,0.404,1.82,52063,1.44,0.068,0.53
1996,Filipino,1635448,0.0061,1058227,0.004,377834,0.0014,434610,0.0113,0.409,1.81,53614,1.44,0.068,0.54
1997,Filipino,1678250,0.0062,1095742,0.0041,387833,0.0014,457123,0.0115,0.414,1.8,55207,1.44,0.067,0.54
1998,Filipino,1727141,0.0063,1135480,0.0042,394718,0.0014,483431,0.0117,0.421,1.8,56875,1.43,0.066,0.54
1999,Filipino,1783902,0.0064,1178095,0.0043,397873,0.0014,514232,0.012,0.429,1.8,58651,1.44,0.065,0.54
2000,Filipino,1850314,0.0066,1224240,0.0044,396680,0.0014,550230,0.0124,0.438,1.8,60570,1.44,0.063,0.53
2001,Filipino,1927233,0.0068,1274156,0.0045,390872,0.0014,591646,0.0128,0.448,1.81,62647,1.45,0.061,0.52
2002,Filipino,2011820,0.007,1326434,0.0047,381578,0.0014,636792,0.0133,0.459,1.82,64832,1.46,0.058,0.51
2003,Filipino,2100307,0.0073,1379255,0.0048,370279,0.0013,683501,0.0138,0.469,1.83,67059,1.47,0.056,0.5
2004,Filipino,2188931,0.0075,1430797,0.0049,358454,0.0013,729605,0.0143,0.479,1.83,69260,1.49,0.053,0.48
2005,Filipino,2273926,0.0077,1479240,0.005,347582,0.0013,772939,0.0147,0.488,1.84,71370,1.5,0.05,0.47
2006,Filipino,2351527,0.0079,1522764,0.0051,339143,0.0013,811334,0.0151,0.494,1.83,73320,1.52,0.048,0.45
2007,Filipino,2417969,0.0081,1559548,0.0052,334617,0.0012,842623,0.0153,0.498,1.82,75046,1.53,0.046,0.43
2008,Filipino,2469486,0.0082,1587771,0.0052,335483,0.0012,864641,0.0154,0.498,1.8,76479,1.55,0.045,0.42
2009,Filipino,2502313,0.0082,1605613,0.0052,343221,0.0012,875220,0.0154,0.494,1.77,77553,1.55,0.044,0.4
2010,Filipino,2512686,0.0081,1611254,0.0052,359310,0.0012,872192,0.0151,0.485,1.72,78202,1.56,0.044,0.39
2011,Filipino,2538325,0.0081,1630949,0.0052,378380,0.0012,874722,0.0149,0.476,1.67,78700,1.56,0.047,0.4
2012,Filipino,2658354,0.0085,1703592,0.0054,376494,0.0012,926723,0.0153,0.48,1.65,80172,1.56,0.056,0.47
2013,Filipino,2664606,0.0084,1663509,0.0053,365972,0.0012,930751,0.0149,0.478,1.61,81788,1.57,0.055,0.47
2014,Filipino,2770918,0.0087,1751607,0.0055,383602,0.0012,978769,0.0152,0.477,1.58,82389,1.54,0.051,0.45
2015,Filipino,2848148,0.0089,1802776,0.0056,405625,0.0013,1007931,0.0152,0.475,1.55,84546,1.52,0.046,0.43
2016,Filipino,2811885,0.0087,1777095,0.0055,390961,0.0012,1036644,0.0152,0.492,1.57,88745,1.54,0.045,0.45
2017,Filipino,2911668,0.0089,1810289,0.0056,378350,0.0012,1073145,0.0152,0.492,1.54,90815,1.51,0.041,0.43
2018,Filipino,2920160,0.0089,1841642,0.0056,379378,0.0012,1083775,0.0149,0.488,1.5,92328,1.49,0.045,0.48
2019,Filipino,2983596,0.0091,1841786,0.0056,364674,0.0011,1138698,0.0153,0.498,1.5,100273,1.53,0.041,0.48
2020,Filipino,3029673,0.0092,1817380,0.0056,354012,0.001,1181920,0.0155,0.509,1.5,106361,1.55,0.037,0.46
2021,Filipino,2960811,0.0089,1775894,0.0054,371162,0.0011,1146438,0.0144,0.505,1.44,101157,1.45,0.044,0.48
1980,Hindi,387223,0.0017,203563,9e-4,59740,3e-4,123906,0.0058,0.519,3.2,20598,1.24,0.099,0.85
1981,Hindi,402383,0.0018,295386,0.0012,81652,4e-4,126973,0.0058,0.526,3.16,23808,1.29,0.098,0.82
1982,Hindi,424256,0.0019,364701,0.0015,98329,4e-4,132628,0.0059,0.533,3.13,26805,1.34,0.097,0.8
1983,Hindi,452629,0.002,413364,0.0016,110215,5e-4,140858,0.006,0.54,3.09,29603,1.38,0.096,0.78
1984,Hindi,487291,0.0021,443228,0.0017,117758,5e-4,151652,0.0062,0.547,3.06,32213,1.41,0.096,0.77
1985,Hindi,528029,0.0023,456147,0.0018,121403,5e-4,164996,0.0064,0.553,3.02,34651,1.44,0.096,0.76
1986,Hindi,574632,0.0025,453977,0.0017,121597,5e-4,180880,0.0067,0.559,2.99,36927,1.46,0.096,0.76
1987,Hindi,626887,0.0026,438572,0.0017,118785,5e-4,199289,0.0071,0.565,2.96,39057,1.47,0.096,0.75
1988,Hindi,684583,0.0028,411785,0.0016,113414,5e-4,220213,0.0075,0.57,2.92,41053,1.48,0.096,0.75
1989,Hindi,747507,0.0031,375471,0.0015,105930,4e-4,243639,0.0079,0.576,2.89,42928,1.49,0.097,0.76
1990,Hindi,815447,0.0033,331484,0.0013,96779,4e-4,269554,0.0084,0.581,2.86,44696,1.49,0.097,0.76
1991,Hindi,888146,0.0035,282119,0.0011,86467,4e-4,297952,0.0089,0.586,2.83,46374,1.49,0.097,0.76
