Year,Language,Lang_Enrol,Lang_Enrol_Pct,Pop,Pop_UsPct,Lang_Pop,Lang_Pop_UsPct,Eng_LesVw_Pop,Eng_LesVw_Pop_UsPct,HEdu_Pop,HEdu_UsPct,HEdu_Pct,HEdu_Ratio,Med_Inc,Inc_Ratio,Pvt_Pct,Pvt_Ratio,Intl_Stud,Intl_Stud_Pct,Total_Trade,Trade_Pct,Total_Stud,Presidency,Party_Gov,Lan_UsPct
1958,Chinese,615,0.0014,162925,0.001,NA,NA,NA,NA,13236,0.002,0.127,1.79,3248,0.99,0.215,0.84,0,0,0,0,3242000,Republican,Divided,1.9e-4
1959,Chinese,959,0.0018,202762,0.0012,NA,NA,NA,NA,19083,0.0026,0.158,2.05,4488,0.99,0.173,0.85,0,0,0,0,3639847,Republican,Divided,2.6e-4
1960,Chinese,1833,0.003,237292,0.0013,NA,NA,NA,NA,23901,0.0031,0.183,2.26,5538,0.99,0.141,0.87,-0,0,0,0,3570000,Republican,Divided,5.1e-4
1961,Chinese,2200,0.0034,267160,0.0014,NA,NA,NA,NA,27863,0.0035,0.202,2.41,6419,1,0.118,0.89,1,0,0,0,4145065,Democrat,Unified,5.3e-4
1962,Chinese,2299,0.0032,293023,0.0015,NA,NA,NA,NA,31165,0.0038,0.217,2.51,7155,1.01,0.103,0.91,2,0,0,0,4208000,Democrat,Unified,5.5e-4
1963,Chinese,2444,0.003,315541,0.0016,NA,NA,NA,NA,34010,0.004,0.227,2.56,7767,1.02,0.095,0.93,4,0,0,0,4779609,Democrat,Unified,5.1e-4
1964,Chinese,2818,0.003,335377,0.0017,NA,NA,NA,NA,36603,0.0042,0.234,2.58,8281,1.03,0.092,0.95,5,-0,0,0,5280020,Democrat,Unified,5.3e-4
1965,Chinese,3359,0.0032,353191,0.0018,NA,NA,NA,NA,39146,0.0043,0.239,2.57,8720,1.05,0.094,0.98,8,0,0,0,5920864,Democrat,Unified,5.7e-4
1966,Chinese,3954,0.0036,369643,0.0018,NA,NA,NA,NA,41843,0.0044,0.242,2.53,9107,1.06,0.1,1,11,0,0,0,6389872,Democrat,Unified,6.2e-4
1967,Chinese,4538,0.0041,385396,0.0019,NA,NA,NA,NA,44898,0.0045,0.245,2.49,9466,1.08,0.108,1.02,13,0,0,0,6911748,Democrat,Unified,6.6e-4
