Year,Language,Lan_UsPct,Lan_UsPct_avg3,Lan_UsPct_avg4,Lan_UsPct_avg5,Lang_Enrol_Pct_avg3,Lang_Enrol_Pct_avg4,Lang_Enrol_Pct_avg5,Eng_LesVw_Pop_UsPct_avg3,Eng_LesVw_Pop_UsPct_avg4,Eng_LesVw_Pop_UsPct_avg5,HEdu_Pct_avg3,HEdu_Pct_avg4,HEdu_Pct_avg5,Inc_Ratio_avg3,Inc_Ratio_avg4,Inc_Ratio_avg5,Pvt_Ratio_avg3,Pvt_Ratio_avg4,Pvt_Ratio_avg5,Intl_Stud_Pct_avg3,Intl_Stud_Pct_avg4,Intl_Stud_Pct_avg5,Trade_Pct_avg3,Trade_Pct_avg4,Trade_Pct_avg5
1958,Chinese,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,Chinese,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,Chinese,0.051000000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,Chinese,0.053,0.032,NA,NA,0.207,NA,NA,NA,NA,NA,15.6,NA,NA,-0.01,NA,NA,-0.147,NA,NA,0,NA,NA,0,NA,NA
1962,Chinese,0.055,0.043,0.037,NA,0.273,0.24,NA,NA,NA,NA,18.1,16.75,NA,-0.007,-0.008,NA,-0.13,-0.138,NA,0,0,NA,0,0,NA
1963,Chinese,0.051000000000000004,0.053,0.046,0.041,0.32,0.285,0.256,NA,NA,NA,20.067,19,17.74,0,-0.003,-0.004,-0.11,-0.12,-0.128,0,0,0,0,0,0
1964,Chinese,0.053,0.053,0.053,0.047,0.32,0.315,0.288,NA,NA,NA,21.533,20.725,19.74,0.01,0.005,0.002,-0.09,-0.1,-0.11,0,0,0,0,0,0
1965,Chinese,0.056999999999999995,0.053,0.053,0.053,0.307,0.315,0.312,NA,NA,NA,22.6,22,21.26,0.02,0.015,0.01,-0.07,-0.08,-0.09,0,0,0,0,0,0
1966,Chinese,0.062,0.054,0.054,0.054,0.307,0.31,0.316,NA,NA,NA,23.333,22.925,22.38,0.033,0.028,0.022,-0.047,-0.057,-0.068,0,0,0,0,0,0
1967,Chinese,0.066,0.057,0.056,0.056,0.327,0.32,0.32,NA,NA,NA,23.833,23.55,23.18,0.047,0.04,0.034,-0.023,-0.035,-0.046,0,0,0,0,0,0
1968,Chinese,0.067,0.062,0.06,0.058,0.363,0.348,0.338,NA,NA,NA,24.2,24,23.74,0.063,0.055,0.048,0,-0.013,-0.024,0,0,0,0,0,0
1969,Chinese,0.06899999999999999,0.065,0.063,0.061,0.407,0.385,0.368,NA,NA,NA,24.5,24.35,24.16,0.077,0.07,0.062,0.023,0.013,0,0,0,0,0,0,0
1970,Chinese,0.073,0.067,0.066,0.064,0.447,0.425,0.404,NA,NA,NA,24.8,24.65,24.5,0.093,0.085,0.078,0.047,0.035,0.024,0,0,0,0,0,0
1971,Chinese,0.083,0.07,0.069,0.067,0.49,0.47,0.448,NA,NA,NA,25.167,25,24.84,0.107,0.1,0.092,0.07,0.058,0.046,0,0,0,0,0,0
1972,Chinese,0.095,0.075,0.073,0.072,0.567,0.537,0.512,NA,NA,NA,25.667,25.45,25.26,0.12,0.113,0.106,0.09,0.08,0.068,0,0,0,0.003,0.002,0.002
1973,Chinese,0.104,0.084,0.08,0.077,0.69,0.637,0.6,NA,NA,NA,26.4,26.075,25.82,0.13,0.125,0.118,0.11,0.1,0.09,0,0,0,0.033,0.025,0.02
